timestamp_coleta,T_MF4_IN,T_MF4_OUT,T_MM2_IN,T_MM2_OUT,T_BOILER100,T_BOILER200,T_IN,Sinal_Vazao1
2025-05-20 22:38:19.911282,20.77,25.63,27.57,27.32,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:21.006419,26.86,25.43,26.82,27.48,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:22.090511,28.57,26.43,26.7,26.75,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:23.227881,25.54,25.62,26.68,27.57,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:24.415250,22.03,25.56,27.41,26.85,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:25.749276,24.89,26.8,27.28,27.07,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:27.317424,30.04,25.83,27.24,26.95,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:28.416442,26.28,25.38,26.75,27.54,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:30.062454,21.63,27.24,27.33,26.72,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:31.160638,27.01,25.41,26.86,27.49,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:32.292705,22.37,27.0,27.39,26.71,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:33.342500,19.09,26.05,27.06,27.22,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:34.319440,27.32,26.09,26.63,26.95,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:35.604608,23.37,25.79,27.38,27.31,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:37.069294,20.1,26.88,27.22,27.0,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:38.141131,22.22,25.73,27.42,27.3,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:39.525198,21.32,25.42,27.44,27.34,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:40.708429,27.38,25.66,26.53,27.35,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:41.792291,28.05,26.01,27.77,27.37,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:42.989576,21.43,27.2,27.21,26.74,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:44.263762,24.22,25.79,26.69,27.5,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:45.541430,21.54,26.4,26.67,26.74,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:46.997547,26.82,25.36,27.5,27.42,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:47.996334,26.31,25.8,26.6,27.34,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:48.903257,26.21,25.54,26.75,27.62,-100.0,-100.0,-100.0,1.0
2025-05-20 22:38:49.909741,27.17,26.01,26.79,27.03,-100.0,-100.0,-100.0,1.0
